date,product_id,product_name,category,price,cost,impressions,visitors,product_clicks,add_to_cart,orders,units_sold,sales_amount,ad_spend,refund_units,inventory,rating
2026-04-01,P001,黑色冲锋衣,冲锋衣,699.0,285.0,2535,255,169,31,8,9,5846.22,1757.88,0,771,4.5
2026-04-01,P002,云白防晒衣,防晒衣,399.0,148.0,2768,339,275,68,17,17,6305.29,1345.7,1,1033,4.7
2026-04-01,P003,卡其工装裤,工装裤,459.0,176.0,3916,390,272,81,12,14,5875.3,945.6,1,906,4.6
2026-04-01,P004,灰色连帽卫衣,卫衣,329.0,122.0,3080,421,319,63,16,16,5073.38,1276.8,2,1134,4.5
2026-04-01,P005,复古印花T恤,T恤,199.0,63.0,4134,463,312,69,14,15,2854.24,680.5,0,1365,4.4
2026-04-01,P006,轻量羽绒服,羽绒服,899.0,382.0,3137,445,307,56,16,18,15500.66,3100.94,1,662,4.5
2026-04-01,P007,水洗牛仔裤,牛仔裤,429.0,168.0,3203,504,327,81,15,17,6705.44,1730.25,0,973,4.5
2026-04-01,P008,机能运动鞋,运动鞋,599.0,236.0,3328,500,339,72,20,21,11569.09,2148.92,2,839,4.5
2026-04-01,P009,城市斜挎包,斜挎包,289.0,96.0,4959,589,443,107,21,24,6366.32,1369.06,2,1216,4.7
2026-04-01,P010,刺绣棒球帽,棒球帽,159.0,48.0,4701,465,366,70,23,25,3830.92,628.5,2,1435,4.8
2026-04-02,P001,黑色冲锋衣,冲锋衣,699.0,285.0,4138,430,369,95,21,21,14299.36,3385.92,1,750,4.8
2026-04-02,P002,云白防晒衣,防晒衣,399.0,148.0,2331,293,234,66,10,12,4704.3,758.45,2,1021,4.6
2026-04-02,P003,卡其工装裤,工装裤,459.0,176.0,4630,408,304,67,17,20,8834.16,2188.09,1,886,4.5
2026-04-02,P004,灰色连帽卫衣,卫衣,329.0,122.0,3773,569,371,99,19,21,6408.14,1053.83,2,1113,4.7
2026-04-02,P005,复古印花T恤,T恤,199.0,63.0,4637,442,361,90,19,19,3674.22,579.52,0,1346,4.5
2026-04-02,P006,轻量羽绒服,羽绒服,899.0,382.0,4399,404,341,70,11,13,10715.4,2636.48,0,649,4.5
2026-04-02,P007,水洗牛仔裤,牛仔裤,429.0,168.0,3886,355,269,55,20,21,8849.45,1739.6,2,952,4.5
2026-04-02,P008,机能运动鞋,运动鞋,599.0,236.0,5659,694,537,99,17,20,11624.9,2111.76,1,819,4.6
2026-04-02,P009,城市斜挎包,斜挎包,289.0,96.0,4921,607,465,109,23,26,6857.08,1050.01,0,1190,4.7
2026-04-02,P010,刺绣棒球帽,棒球帽,159.0,48.0,5623,792,530,134,33,36,5270.7,1204.05,2,1399,4.7
2026-04-03,P001,黑色冲锋衣,冲锋衣,699.0,285.0,3548,418,358,57,11,12,7813.51,1946.51,1,738,4.6
2026-04-03,P002,云白防晒衣,防晒衣,399.0,148.0,4380,618,427,119,18,19,6922.23,2034.71,1,1002,4.3
2026-04-03,P003,卡其工装裤,工装裤,459.0,176.0,4617,352,299,78,13,14,6118.26,1496.92,1,872,4.5
2026-04-03,P004,灰色连帽卫衣,卫衣,329.0,122.0,4845,684,499,111,34,34,10885.92,2274.48,2,1079,4.6
2026-04-03,P005,复古印花T恤,T恤,199.0,63.0,2999,313,247,56,9,10,1846.72,365.47,2,1336,4.8
2026-04-03,P006,轻量羽绒服,羽绒服,899.0,382.0,4801,644,497,136,25,29,24080.15,4449.73,1,620,4.6
2026-04-03,P007,水洗牛仔裤,牛仔裤,429.0,168.0,3069,463,299,70,20,23,9222.81,1362.69,0,929,4.5
2026-04-03,P008,机能运动鞋,运动鞋,599.0,236.0,3932,357,286,70,21,21,12209.22,3561.38,1,798,4.6
2026-04-03,P009,城市斜挎包,斜挎包,289.0,96.0,3685,478,376,86,23,23,6192.48,1245.2,0,1167,4.3
2026-04-03,P010,刺绣棒球帽,棒球帽,159.0,48.0,4597,354,307,65,19,19,2771.99,507.09,0,1380,4.7
2026-04-04,P001,黑色冲锋衣,冲锋衣,699.0,285.0,4515,420,323,61,23,25,16304.05,4520.23,1,713,4.4
2026-04-04,P002,云白防晒衣,防晒衣,399.0,148.0,3982,443,292,52,19,19,7431.4,2187.79,2,983,4.5
2026-04-04,P003,卡其工装裤,工装裤,459.0,176.0,3682,424,343,81,23,27,11392.67,3117.82,1,845,4.6
2026-04-04,P004,灰色连帽卫衣,卫衣,329.0,122.0,4726,384,326,84,21,25,7559.84,1159.12,1,1054,4.7
2026-04-04,P005,复古印花T恤,T恤,199.0,63.0,3522,294,208,48,9,9,1771.77,301.87,1,1327,4.5
2026-04-04,P006,轻量羽绒服,羽绒服,899.0,382.0,4262,351,288,83,20,22,19156.17,3118.11,2,598,4.4
2026-04-04,P007,水洗牛仔裤,牛仔裤,429.0,168.0,6336,782,520,147,25,25,9778.79,1836.37,2,904,4.9
2026-04-04,P008,机能运动鞋,运动鞋,599.0,236.0,5946,468,363,104,24,28,15718.15,4411.03,0,770,4.5
2026-04-04,P009,城市斜挎包,斜挎包,289.0,96.0,5031,625,447,117,29,33,8982.84,2100.79,0,1134,4.5
2026-04-04,P010,刺绣棒球帽,棒球帽,159.0,48.0,4639,329,272,64,16,17,2630.28,718.73,0,1363,4.4
2026-04-05,P001,黑色冲锋衣,冲锋衣,699.0,285.0,3110,304,225,63,12,14,9158.2,1645.79,1,699,4.5
2026-04-05,P002,云白防晒衣,防晒衣,399.0,148.0,3069,263,226,50,6,7,2620.17,399.98,2,976,4.8
2026-04-05,P003,卡其工装裤,工装裤,459.0,176.0,5296,471,356,78,17,19,8247.75,1602.78,1,826,4.5
2026-04-05,P004,灰色连帽卫衣,卫衣,329.0,122.0,5588,617,512,82,18,19,6011.17,1726.4,0,1035,4.8
2026-04-05,P005,复古印花T恤,T恤,199.0,63.0,4348,544,418,119,17,17,3321.93,836.73,2,1310,4.5
2026-04-05,P006,轻量羽绒服,羽绒服,899.0,382.0,3518,366,260,54,19,19,15872.49,3978.3,0,579,4.3
2026-04-05,P007,水洗牛仔裤,牛仔裤,429.0,168.0,4327,454,378,90,25,30,12603.89,3481.93,1,874,4.7
2026-04-05,P008,机能运动鞋,运动鞋,599.0,236.0,5050,572,443,119,30,32,18704.65,3197.14,1,738,4.4
2026-04-05,P009,城市斜挎包,斜挎包,289.0,96.0,5282,561,448,77,29,34,9106.58,1708.01,2,1100,4.4
2026-04-05,P010,刺绣棒球帽,棒球帽,159.0,48.0,5237,556,419,84,22,25,3787.9,1000.69,2,1338,4.5
2026-04-06,P001,黑色冲锋衣,冲锋衣,699.0,285.0,3470,362,287,77,10,11,7606.69,1797.63,0,688,4.3
2026-04-06,P002,云白防晒衣,防晒衣,399.0,148.0,2697,289,210,34,16,19,6947.15,1179.01,2,957,4.6
2026-04-06,P003,卡其工装裤,工装裤,459.0,176.0,2740,304,218,52,15,17,7588.48,1833.2,0,809,4.1
2026-04-06,P004,灰色连帽卫衣,卫衣,329.0,122.0,4274,481,396,92,19,19,5767.05,851.56,0,1016,4.4
